관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11530-00023,현화소공원,소공원,,서울특별시 구로구 고척동 342-1,37.489741,126.858768,720,체력단련시설 7점,,,,,2005-07-28,서울특별시 구로구청,02-860-3090,2021-02-18
11530-00024,무궁화소공원,소공원,,서울특별시 구로구 고척동 341-2,37.504867,126.858768,1166,체력단련시설 3점,,,,,2006-09-21,서울특별시 구로구청,02-860-3090,2021-02-18
11530-00025,개웅어린이공원,어린이공원,,서울특별시 구로구 개봉동 340-8,37.489928,126.852866,1797,체력단련시설 3점,"모래밭 1기, 시소 1기, 조합놀이 2기",화장실 1개소,,,1970-09-20,서울특별시 구로구청,02-860-3090,2021-02-18
11530-00026,소막골어린이공원,어린이공원,,서울특별시 구로구 개봉동 271-17,37.488486,126.852386,516,체력단련시설 3점,조합놀이 1기,,,,1978-06-13,서울특별시 구로구청,02-860-3090,2021-02-18
11530-00027,절골어린이공원,어린이공원,,서울특별시 구로구 개봉동 312-25,37.482821,126.851652,369,체력단련시설 4점,"모래밭 1기, 조합놀이 1기",,,,1978-11-22,서울특별시 구로구청,02-860-3090,2021-02-18
11530-00028,가린열어린이공원,어린이공원,,서울특별시 구로구 개봉동 458-4,37.500611,126.854191,333,체력단련시설 3점,조합놀이 1기,,,,1979-08-30,서울특별시 구로구청,02-860-3090,2021-02-18
11530-00029,개봉소공원,소공원,,서울특별시 구로구 개봉동 492-1,37.499696,126.849376,3023,,,,,,2008-11-06,서울특별시 구로구청,02-860-3090,2021-02-18
11530-00030,개웅소공원,소공원,,서울특별시 구로구 개봉동 345-14,37.488094,126.854735,657,체력단련시설 5점,조합놀이 1기,,,,2010-05-13,서울특별시 구로구청,02-860-3090,2021-02-18
11530-00031,온수근린공원,근린공원,,서울특별시 구로구 개봉동 45-2,37.571952,126.963169,1097565,"운동장3개소, 배드민턴 2개소, 체력단련시설 84점",,샘터 3개소,,,1971-08-06,서울특별시 구로구청,02-860-2396,2021-02-18
11530-00032,개웅산근린공원,근린공원,,서울특별시 구로구 개봉동 산53-3,37.500374,126.848974,411972,"배드민턴장 1개소, 체력단련시설 65점",,샘터 1개소,,,1971-08-06,서울특별시 구로구청,02-860-2396,2021-02-18
11530-00033,오동나무어린이공원,어린이공원,,서울특별시 구로구 오류동 353-4,37.485594,126.838383,1815,,"조합놀이 1기, 흔들놀이 6기, 시소 1기",,,,2004-11-20,서울특별시 구로구청,02-860-3090,2021-02-18
11530-00034,온수어린이공원,어린이공원,,서울특별시 구로구 온수동 73-5,37.494631,126.817658,475,체력단련시설 2점,"모래밭 1기, 시소 1기, 조합놀이 1기",,,,1978-06-07,서울특별시 구로구청,02-860-3090,2021-02-18
11530-00035,와룡소공원,소공원,,서울특별시 구로구 온수동 155-3,37.496736,126.820991,2500,체력단련시설 4점,,,,,2008-08-28,서울특별시 구로구청,02-860-3090,2021-02-18
11530-00036,갈매소공원,소공원,,서울특별시 구로구 온수동 155-4,37.496736,126.820991,3200,체력단련시설 8점,,,,,2008-08-28,서울특별시 구로구청,02-860-3090,2021-02-18
11530-00037,삭새어린이공원,어린이공원,,서울특별시 구로구 궁동 237-6,37.496337,126.825012,2077,체력단련시설 11점,"모래밭 1기, 조합놀이 1기",,,,1979-08-30,서울특별시 구로구청,02-860-3090,2021-02-18
11530-00038,수른어린이공원,어린이공원,,서울특별시 구로구 궁동 279-6,37.497891,126.829601,332,체력단련시설 2점,조합놀이 1기,,,,1991-05-29,서울특별시 구로구청,02-860-3090,2021-02-18
11530-00039,천왕근린공원(시),근린공원,,서울특별시 구로구 천왕동 산25-1,37.576299,126.832162,587860,"운동장 1개소, 배드민턴 2개소, 체력단력시설 14점, 캠핑시설 30면",,,"샘터 1개소, 파고라 1동",,1971-08-06,서울특별시 구로구청,02-860-2396,2021-02-18
11530-00040,연지근린공원,근린공원,,서울특별시 구로구 천왕동 274-2,37.479003,126.838689,44478,체력단련시설 15점,,,,,2004-11-20,서울특별시 구로구청,02-860-3086,2021-02-18
11530-00041,버들어린이공원,어린이공원,,서울특별시 구로구 천왕동 277-14,37.481146,126.841975,6167,,"조합놀이 2기, 흔들놀이 6기, 시소 1기, 그네 1기",,,,2004-11-20,서울특별시 구로구청,02-860-3090,2021-02-18
11530-00042,천왕근린공원,근린공원,,서울특별시 구로구 천왕동 276,37.476131,126.841125,33677,체력단련시설 9점,,,,,2004-11-20,서울특별시 구로구청,02-860-3086,2021-02-18
11530-00043,천왕역소공원,소공원,,서울특별시 구로구 천왕동 13-56,37.48530509,126.8400322,1712,,,,,,2006-11-13,서울특별시 구로구청,02-860-3090,2021-02-18
11530-00044,이펜시아어린이공원,어린이공원,,서울특별시 구로구 천왕동 2-5,37.483092,126.845813,1500,,조합놀이 1기,,,,2006-11-13,서울특별시 구로구청,02-860-3090,2021-02-18
11530-00045,개명소공원,소공원,,서울특별시 구로구개봉동 314-14,37.480377,126.839291,5415,,,,,,2006-11-13,서울특별시 구로구청,02-860-3090,2021-02-18
11530-00046,봉화대근린공원,근린공원,,서울특별시 구로구 천왕동 산13-1,37.48469858,126.8424192,60975,,,,,,2006-11-13,서울특별시 구로구청,02-860-3086,2021-02-18
11530-00047,푸른수목원,근린공원,,서울특별시 구로구 항동 31,37.48196844,126.8236695,100809,,,,,,2005-06-23,서울특별시 푸른수목원,02-2686-3200,2021-02-18
11530-00048,오류동역문화공원,문화공원,,서울특별시 구로구 오류동 299-29,37.494783,126.844884,7510,,,,,,2013-08-28,서울특별시 구로구청,02-860-3086,2021-02-18
11530-00049,오류동 소공원,소공원,,서울특별시 구로구 오류동 332-36,37.493631,126.842953,895,"체력단련시설 4점, 태양광벤치, 공원등",,,,,2018-08-23,서울특별시 구로구청,02-860-3090,2021-02-18
11530-00050,연지소공원,소공원,,서울특별시 구로구 천왕동 7-37,37.482231,126.843491,431,"파고라 1개소, 공원등 2개소, CCTV 1개소 등",,,,,2020-09-24,서울특별시 구로구청,02-860-3090,2021-02-18
