연번,서ㆍ센터ID,서ㆍ센터명,유형구분명,도서지역포함여부,상위서ㆍ센터ID,일련번호,X좌표,Y좌표
89,1104402,구조대,안전센터/구조대, ,1104000,131,201360.6063,551712.1697
90,1104105,을지로119안전센터,안전센터/구조대, ,1104000,132,201067.7098,551909.1152
91,1104106,신당119안전센터,안전센터/구조대, ,1104000,133,200851.6159,550378.6798
92,1118102,천호119안전센터,안전센터/구조대, ,1118000,134,211611.0309,548796.7546
93,1111105,수락119안전센터,안전센터/구조대, ,1111000,135,204916.9529,564450.2125
94,1111106,공릉119안전센터,안전센터/구조대, ,1111000,136,207126.8641,557723.2716
95,1109101,종암119안전센터,안전센터/구조대, ,1109000,137,202791.9644,555883.1996
96,1109201,구조대,안전센터/구조대, ,1109000,138,202816.8937,555864.5154
97,1109000,성북소방서,소방서, ,1100000,139,202804.149,555873.76
98,1107102,청량리119안전센터,안전센터/구조대, ,1107000,140,204625.8896,554177.4189
99,1125104,삼각산119안전센터,안전센터/구조대, ,1125000,141,201365.2688,557807.8002
100,1117105,개화119안전센터,안전센터/구조대, ,1117000,142,182606.2297,552851.9483
101,1123201,119구조대,안전센터/구조대, ,1123000,143,194220.3846,552477.2647
102,1123000,서대문소방서,소방서, ,1100000,144,194337.7698,552637.4366
103,1106000,용산소방서,소방서, ,1100000,145,197483.5272,548286.9058
104,1106101,한강로119안전센터,안전센터/구조대, ,1106000,146,197475.7601,548278.7732
105,1106201,구조대,안전센터/구조대, ,1106000,147,197492.9824,548295.2931
106,1102000,동작소방서,소방서, ,1100000,148,192720.099,543910.6621
107,1102101,동작119안전센터,안전센터/구조대, ,1102000,149,192707.3664,543910.399
108,1102201,구조대,안전센터/구조대, ,1102000,150,192731.6198,543910.7474
109,1120105,종합운동장119안전센터,안전센터/구조대, ,1120000,151,206275.5993,546084.1854
110,1107105,휘경119안전센터,안전센터/구조대, ,1107000,152,205752.8401,554569.3784
111,1121105,신트리119안전센터,안전센터/구조대, ,1121000,153,186559.8846,545696.9246
112,1113107,상암119안전센터,안전센터/구조대, ,1113000,154,189510.674,553380.006
113,1106102,이촌119안전센터,안전센터/구조대, ,1106000,155,195879.7382,547839.3531
114,1121000,양천소방서,소방서, ,1100000,156,188708.9359,547859.2886
115,1100212,북한산산악구조대,안전센터/구조대, ,1100000,157,194994.6657,560097.889
116,1126305,반포수난구조대,안전센터/구조대, ,1100000,158,198175.2824,545201.8107
117,1100211,도봉산산악구조대,안전센터/구조대, ,1100000,159,203074.0467,565427.9914
118,1100213,관악산산악구조대,안전센터/구조대, ,1100000,160,195129.5919,539763.996
119,1127301,성수119안전센터,안전센터/구조대, ,1127000,161,205362.4681,548633.0107
120,1105107,중곡119안전센터,안전센터/구조대, ,1105000,162,207654.2181,551938.0906
121,1127302,왕십리119안전센터,안전센터/구조대, ,1127000,163,203136.0569,551389.954
122,1127303,금호119안전센터,안전센터/구조대, ,1127000,164,202151.5818,550503.6875
123,1127402,구조대,안전센터/구조대, ,1127000,165,203498.4103,550472.8211
124,1127401,행당119안전센터,안전센터/구조대, ,1127000,166,203478.7831,550454.8815
125,1127000,성동소방서,소방서, ,1100000,167,203491.1707,550460.9959
126,1105103,능동119안전센터,안전센터/구조대, ,1105000,168,206799.9572,550240.6688
127,1126304,뚝섬수난구조대,안전센터/구조대, ,1105000,169,205355.3908,547981.1805
128,1105000,광진소방서,소방서, ,1100000,170,207312.9197,549483.1621
129,1105402,구조대,안전센터/구조대, ,1105000,171,207318.9366,549481.4335
130,1105401,구의119안전센터,안전센터/구조대, ,1105000,172,207305.8501,549485.4386
131,1114107,세곡119안전센터,안전센터/구조대, ,1114000,173,209487.115,541229.3777
132,1100512,본부현장대응단,안전센터/구조대, ,1100000,174,199041.9629,551037.2876
133,1117106,마곡119안전센터,안전센터/구조대, ,1117000,175,184158.5291,550727.2856
134,1118106,강일119안전센터,안전센터/구조대, ,1118000,176,215876.1288,550883.6942
135,1126307,광나루수난구조대,안전센터/구조대, ,1126000,177,210400.25,549496.7
136,1110108,쌍문119안전센터,안전센터/구조대, ,1110000,1,202367.981,560953.287
137,1125000,강북소방서,소방서, ,1100000,2,203372.1342,559271.2537
138,1125101,번동119안전센터,안전센터/구조대, ,1125000,3,203369.0392,559276.6756
139,1125201,구조대,안전센터/구조대, ,1125000,4,203375.7427,559265.795
140,1113105,공덕119안전센터,안전센터/구조대, ,1113000,5,196444.7798,550061.6001
141,1103108,종로119안전센터,안전센터/구조대, ,1103000,6,199314.856,552411.268
142,1103000,종로소방서,소방서, ,1100000,7,198136.5623,552591.178
143,1103102,세종로119안전센터,안전센터/구조대, ,1103000,8,198138.0783,552597.225
144,1112105,녹번119안전센터,안전센터/구조대, ,1112000,9,194253.5754,555729.369
145,1112202,119구조대,안전센터/구조대, ,1112000,10,192919.9907,558806.002
146,1116102,봉천119안전센터,안전센터/구조대, ,1116000,11,194824.205,542949.9
147,1120106,가락119안전센터,안전센터/구조대, ,1120000,12,210034.2731,544119.03
148,1113103,염리119안전센터,안전센터/구조대, ,1113000,13,195187.5805,549133.3792
149,1119108,공단119안전센터,안전센터/구조대, ,1119000,14,191021.3169,542757.6918
150,1108000,영등포소방서,소방서, ,1100000,15,191526.8421,546560.6076
151,1108101,영등포119안전센터,안전센터/구조대, ,1108000,16,191529.1611,546547.2686
152,1108201,구조대,안전센터/구조대, ,1108000,17,191531.8481,546551.6006
153,1114000,강남소방서,소방서, ,1100000,18,205904.581,545647.847
154,1114402,구조대,안전센터/구조대, ,1114000,19,205898.6127,545643.3529
155,1114401,삼성119안전센터,안전센터/구조대, ,1114000,20,205916.577,545650.852
156,1117104,발산119안전센터,안전센터/구조대, ,1117000,21,185588.494,550648.753
157,1108103,당산119안전센터,안전센터/구조대, ,1108000,22,191092.141,548448.622
158,1115104,서초119안전센터,안전센터/구조대, ,1115000,23,202439.1368,543179.1726
159,1123101,연희119안전센터,안전센터/구조대, ,1123000,24,194344.558,552625.207
160,1113106,성산119안전센터,안전센터/구조대, ,1113000,25,191440.251,552344.4618
161,1118000,강동소방서,소방서, ,1100000,26,211043.4877,547760.4172
162,1122102,면목119안전센터,안전센터/구조대, ,1122000,27,207055.481,552592.482
163,1122103,망우119안전센터,안전센터/구조대, ,1122000,28,208881.6943,555365.9848
164,1120102,거여119안전센터,안전센터/구조대, ,1120000,29,213423.6522,543861.4995
165,1118101,성내119안전센터,안전센터/구조대, ,1118000,30,211038.2681,547762.8204
166,1118103,고덕119안전센터,안전센터/구조대, ,1118000,31,213433.6503,550859.468
167,1118104,암사119안전센터,안전센터/구조대, ,1118000,32,211367.2624,550503.1585
168,1118201,구조대,안전센터/구조대, ,1118000,33,211050.1134,547757.015
169,1110106,도봉119안전센터,안전센터/구조대, ,1110000,34,203804.2984,563253.9162
170,1122104,중화119안전센터,안전센터/구조대, ,1122000,35,207004.399,555658.693
171,1109103,길음119안전센터,안전센터/구조대, ,1109000,36,201690.034,555917.924
172,1109104,장위119안전센터,안전센터/구조대, ,1109000,37,205140.2828,557337.1416
173,1125102,우이119안전센터,안전센터/구조대, ,1125000,38,201461.9413,560141.8011
174,1125103,미아119안전센터,안전센터/구조대, ,1125000,39,202500.7233,557825.98
175,1111000,노원소방서,소방서, ,1100000,40,206278.7101,559835.8943
176,1110000,도봉소방서,소방서, ,1100000,41,203797.4045,562711.4224
177,1111102,상계119안전센터,안전센터/구조대, ,1111000,42,206323.823,561714.8862
